zip,2018-07
18109,114900
18210,130400
18222,135800
18235,143800
18411,217500
18901,397500
18902,454500
18914,371500
18938,604400
18940,457600
18944,303800
18951,268800
18966,353500
18974,
18976,340500
19001,265600
19002,375500
19003,335000.00
19006,350500
19007,165300
19020,243700
19027,225300
19030,255900
19038,275500
19040,270000.0
19044,248700
19047,323500
19053,293900
19054,234400
19055,192900
19056,262400
19057,193400
19067,353600
19087,469200
19090,263700
19096,426500
19106,404300
19111,173500
19114,195500
19115,225000.00
19116,240200
19119,230900
19120,81600
19123,363800
19124,86600
19125,268600
19128,249000.00
19130,338700
19135,114600
19136,157100
19138,77700
19145,182600
19147,395100
19148,207400
19149,148800
19152,212800
19154,203000.00
19335,326000.00
19348,367100
19355,444500
19363,278600
19380,367500
19382,348500
19403,231200
19406,306500
19425,436500
19426,316500
19428,316000.00
19438,302900
19444,412600
19446,265900
19454,290100
19460,277900
19464,135400
19468,238100
19525,280600
19701,270100
19702,221000.00
19711,264700
19808,242600
20001,676800
20002,597800
20003,615000.00
20005,482600
20007,977200
20009,562000.00
20010,593100
20011,590600
20012,731200
20015,1008200
20016,950600
20017,541600
20018,487600
20019,274800
20020,291500
20105,487200
20109,263400
20110,310000.0
20111,327800
20112,448600
20120,426300
20121,352100
20124,675000.00
20132,496600
20136,420900
20147,458200
20148,487300
20151,454500
20152,497300
20155,442200
20164,365800
20165,445900
20169,463900
20170,444300
20171,567800
20175,458200
20176,484500
20181,479600
20186,
20187,449800
20190,409700
20191,406300
20194,509400
20601,267300
20602,248800
20603,313500
20607,336800
20646,310200
20657,210900
20678,310900
20705,331000.00
20706,272000.00
20707,248500
20708,291800
20715,327600
20716,274600
20720,380000.0
20721,355400
20723,381700
20724,308700
20732,269800
20735,261100
20737,249200
20743,205100
20744,297100
20745,213900
20747,211800
20748,212600
20772,285700
20783,273100
20784,251300
20785,220300
20814,645400
20815,993900
20816,902300
20832,403900
20850,501100
20851,381000.00
20852,401700
20853,452500
20854,886700
20855,428500
20866,338400
20871,438400
20872,313700
20874,292800
20877,347900
20879,297100
20882,545500
20886,280400
20901,424200
20902,379400
20904,403600
20905,489100
20906,310600
20910,526000.00
20912,468400
21001,193600
21009,242500
21012,353400
21015,273100
21029,702700
21037,376700
21040,172800
21042,549700
21043,421000.00
21044,358400
21046,321900
21050,271800
21054,413000.00
21060,270900
21061,225600
21074,273900
21075,
21076,394800
21078,262200
21085,222100
21090,289600
21093,379400
21108,356400
21113,284700
21114,297800
21117,233300
21122,298700
21128,296400
21133,205500
21136,257100
21144,342100
21146,503100
21157,269900
21158,268400
21206,112700
21208,217600
21209,266900
21211,225600
21218,88500
21220,185800
21221,162200
21224,159700
21227,179300
21230,197000.00
21231,231300
21234,190400
21237,205600
21239,171300
21244,207800
21286,243200
21401,405000.00
21403,377900
21409,362600
21701,276500
21702,259200
21703,246100
21704,389200
21771,391200
21774,375200
21784,373800
21901,233100
21921,212900
22003,489000.00
22015,493700
22025,365800
22030,562000.00
22031,533100
22032,566300
22033,461900
22039,799900
22041,281400
22042,503100
22043,619600
22046,
22066,907100
22079,435300
22101,1004200
22124,
22150,444300
22151,491200
22152,467900
22153,462200
22180,675200
22181,679400
22182,810800
22191,310100
22192,323400
22193,307500
22201,544400
22204,446000.00
22205,820200
22206,405400
22207,842700
22301,714800
22302,357400
22303,
22304,335700
22305,622800
22306,431500
22308,621100
22309,421100
22310,451600
22311,432100
22312,437500
22314,639600
22315,498900
22401,321600
22405,286100
22406,348700
22407,264900
22408,259500
22546,197500
22553,261200
22554,338500
22556,323500
22630,217000.00
22701,248400
22712,332700
23059,359900
23060,289100
23072,229300
23075,119100
23111,229900
23112,250700
23114,293300
23116,320100
23150,153500
23185,294800
23188,293600
23220,276500
23225,222000.00
23226,287400
23227,235800
23228,177900
23229,287500
23231,169500
23233,313000.00
23234,144400
23235,250600
23236,216100
23238,269700
23294,203100
23320,239200
23321,234200
23322,338800
23323,261100
23325,171000.00
23434,186000.00
23435,276800
23451,400700
23453,
23454,270600
23455,282000.00
23456,341700
23462,183700
23464,239700
23502,186100
23503,204500
23505,189600
23513,151700
23518,204000.00
23601,170000.0
23602,187500
23606,215400
23608,165800
23663,108500
23666,165700
23669,183600
23692,283200
23693,348400
23701,145500
23703,169600
23831,232000.00
23832,244600
23834,142700
23838,334600
27012,237300
27021,124300
27023,201900
27040,157900
27103,144900
27104,212900
27106,176300
27205,158000.00
27265,179400
27282,200700
27284,166400
27360,126500
27370,149600
27403,167800
27405,115900
27407,131800
27410,210400
27455,236700
27502,310100
27511,259000.00
27513,306100
27518,401400
27519,383100
27525,163800
27526,249700
27529,213100
27539,371400
27540,305900
27545,216400
27560,293100
27591,207000.00
27596,251700
27597,200000
27603,253800
27604,190800
27607,404100
27608,544300
27610,185700
27612,294400
27613,316100
27614,342100
27615,305400
27616,197100
27617,265200
28012,211300
28016,122200
28036,333400
28037,321000.00
28075,291000.00
28078,300000
28079,241700
28081,138700
28083,140700
28092,151000.00
28105,285000.00
28110,190200
28112,170700
28115,217200
28120,198400
28134,227800
28146,151600
28147,164600
28173,368100
28202,270900
28203,355700
28209,349300
28211,469600
28212,158100
28213,173800
28214,181200
28215,184200
28216,176500
28226,366300
28227,210300
28262,191000.00
28269,201800
28270,367100
28273,218200
28277,347100
28278,300000
28625,160100
28677,117000.00
29016,227900
29033,95100
29036,264200
29045,182700
29063,173400
29072,190700
29073,137600
29078,143100
29169,118800
29170,130200
29201,160000.0
29204,132300
29209,134200
29212,147200
29223,116500
29229,148600
29401,755400
29403,480100
29405,175100
29407,276700
29410,245700
29412,314900
29414,252100
29445,183400
29455,344600
29456,181900
29464,463000.00
29466,393400
29483,199300
29486,214700
29492,454800
29605,170200
