Zip,Longitude,Latitude,MedianSalesPrice,QualifyingIncome,HousingAffordabilityIndex
2035,-71.236,42.062,463700,"$93,680.82",64.4059295719144
2038,-71.405,42.089,403800,"$81,579.28",73.9599542904822
2048,-71.218,42.013000000000005,364000,"$73,538.53",82.0467844574085
2050,-70.711,42.111999999999995,424500,"$85,761.28",70.3534264840912
2053,-71.428,42.156000000000006,481900,"$97,357.74",61.9734997769178
2061,-70.82300000000001,42.153999999999996,595000,"$120,207.21",50.1933269621794
2062,-71.196,42.183,463500,"$93,640.41",64.4337206957858
2066,-70.77,42.207,602400,"$121,702.23",49.5767422684208
2067,-71.185,42.105,558300,"$112,792.75",53.4927987506658
2072,-71.10600000000001,42.118,353400,"$71,397.02",84.5077236629788
2081,-71.256,42.148999999999994,495800,"$100,165.94",60.2360418364193
2116,-71.086,42.347,1105300,"$223,302.58",27.0198403532948
2118,-71.07300000000001,42.336000000000006,980000,"$197,988.35",30.4745199413232
2122,-71.055,42.297,478500,"$96,670.84",62.4138548432533
2124,-71.071,42.287,442900,"$89,478.61",67.4306379374502
2127,-71.02,42.32899999999999,637400,"$128,773.24",46.8544548831138
2129,-71.065,42.383,748300,"$151,178.25",39.9105031972427
2130,-71.12100000000001,42.31,602600,"$121,742.63",49.5602879895398
2131,-71.12100000000001,42.284,492700,"$99,539.65",60.6150386492728
2132,-71.156,42.278,535300,"$108,146.09",55.7912003409242
2135,-71.105,42.35,478000,"$96,569.83",62.4791413022944
2136,-71.12899999999999,42.254,425200,"$85,902.70",70.2376047565774
2139,-71.102,42.365,,$0.00,
2143,-71.09899999999999,42.381,705600,"$142,551.61",42.3257221407266
2148,-71.085,42.437,430200,"$86,912.85",69.4212681136604
2149,-71.051,42.407,401300,"$81,074.21",74.420706559922
2150,-71.039,42.378,340000,"$68,689.84",87.8383221838139
2151,-71.02,42.36600000000001,373700,"$75,498.21",79.9171248126752
2152,-70.982,42.378,434000,"$87,680.56",68.8134321255685
2155,-71.109,42.422,574600,"$116,085.82",51.9753385703041
2169,-71.006,42.242,357100,"$72,144.53",83.6321185732196
2171,-71.014,42.285,480800,"$97,135.51",62.1152860700847
2176,-71.053,42.458999999999996,569100,"$114,974.66",52.4776481154397
2180,-71.098,42.475,449200,"$90,751.40",66.4849277437594
2184,-71.005,42.202,459900,"$92,913.11",64.9380942433066
2186,-71.078,42.24100000000001,749900,"$151,501.50",39.8253494365872
2188,-70.955,42.208,360300,"$72,791.02",82.8893409450367
2189,-70.932,42.211000000000006,328400,"$66,346.30",90.941015659247
2190,-70.95100000000001,42.168,356100,"$71,942.50",83.8669742838998
2191,-70.945,42.251000000000005,336900,"$68,063.55",88.6465703250125
2301,-71.04,42.07899999999999,282000,"$56,972.16",105.904360079776
2302,-71,42.085,278000,"$56,164.04",107.428163821931
2324,-70.977,41.974,325900,"$65,841.23",91.6386300782348
2330,-70.76,41.896,330800,"$66,831.17",90.2812259446696
2332,-70.711,42.053000000000004,640400,"$129,379.33",46.6349618090205
2333,-70.931,42.023,356500,"$72,023.31",83.7728738919964
2339,-70.851,42.123999999999995,509200,"$102,873.13",58.6508828407241
